Especie,Talla (cm),Peso (gr),Integridad (%),pH,Temperatura (°C),Planta,Puerto,Flota,Nombre nave pesca,Zona pesca,Fecha de recepción
Caballa,26.90323843701007,334.51305325269675,96,5.555622695267873,22.301666211574997,Planta 2,Pesca Sur,Industrial,Isaac,122,2024-04-19
Sardina española,22.071624720759168,242.06299552622136,85,6.842815149614052,29.93517394446155,Planta 3,Pesca Norte,Industrial,Isidora I,102,2024-05-14
Sardina española,22.078353943320284,128.66414042551742,90,5.349656278545244,23.613712915322793,Planta 2,Pesca Norte,Artesanal,Liliana,114,2024-10-06
Jurel,44.19427737705978,855.4795081930532,80,5.802066055849504,25.462557691148987,Planta 3,Pesca Sur,Industrial,Emilia,145,2024-11-05
Sardina española,27.187292452807217,113.5857939069181,97,5.818849869981937,26.731086877563264,Planta 2,Pesca Norte,Artesanal,Isidora I,125,2024-07-22
Jurel,46.83775935694651,709.4946141581842,91,6.207500727675644,22.876787358177996,Planta 1,Pesca Sur,Artesanal,Emilia,115,2024-11-07
Anchoveta,17.408924699214744,84.4273511058037,92,6.890350311532226,27.914649972455752,Planta 3,Pesca Norte,Artesanal,Liliana,138,2024-10-28
Anchoveta,15.57242291282223,109.2210591808214,98,6.808694856133911,23.157967866128978,Planta 3,Pesca Sur,Artesanal,Isidora I,142,2024-10-15
Caballa,30.81513691318551,314.2765322021251,83,6.285083465834731,27.362264268479713,Planta 1,Pesca Norte,Industrial,Licanten,148,2024-05-12
Sardina española,20.791511607557236,209.51905644654755,90,5.697277182740448,22.61280074524078,Planta 2,Pesca Sur,Artesanal,Santiago G,132,2024-09-13
Sardina española,22.605317706694787,155.52645809390444,97,6.092715259599167,24.206293375484115,Planta 1,Pesca Sur,Artesanal,Isaac,102,2024-10-26
Caballa,28.519625280090292,317.0960462781977,70,5.866242551278505,21.159492199158088,Planta 2,Pesca Norte,Artesanal,Liliana,142,2024-03-29
Jurel,50.98506807856623,815.3997911599411,79,5.201880397923448,27.49024476649224,Planta 3,Pesca Sur,Artesanal,Liliana,104,2024-11-19
Jurel,42.58574114498201,700.2283725214476,79,6.514143930222391,22.28939447013749,Planta 3,Pesca Norte,Artesanal,Licanten,110,2024-11-28
Anchoveta,13.520034329411688,70.02713373140212,87,5.117870133000845,27.75531217199779,Planta 3,Pesca Sur,Artesanal,Liliana,102,2024-08-09
Jurel,43.59820102420378,715.5792694936894,73,6.593455168380466,23.251811616784725,Planta 3,Pesca Sur,Artesanal,Emilia,104,2024-04-06
Anchoveta,20.84676474482491,85.76896840228035,96,6.543524599536722,20.042366176573744,Planta 3,Pesca Norte,Artesanal,Isaac,153,2024-04-15
Sardina española,14.068585513829913,158.81680299471105,79,5.914402014901883,29.991799528407988,Planta 3,Pesca Sur,Industrial,Fernanda,101,2024-05-13
Jurel,39.46271780811028,846.6467251271488,84,6.927037851281461,24.44609287808929,Planta 3,Pesca Sur,Artesanal,Francesca,154,2024-10-16
Caballa,28.408415689892358,296.7431424539063,90,6.771105227482366,22.993123000361788,Planta 3,Pesca Norte,Industrial,Francesca,107,2024-06-14
Sardina española,14.424757365290333,154.81625638476763,98,5.4889504002678375,27.46010299263076,Planta 2,Pesca Sur,Industrial,Santiago G,141,2024-06-17
Caballa,21.049552462917163,277.0915266346179,90,5.617252241401062,23.436431361973447,Planta 3,Pesca Norte,Artesanal,Emilia,109,2024-08-19
Jurel,39.536245891037574,757.9279456228735,82,5.986042680588051,27.987033302532303,Planta 3,Pesca Sur,Artesanal,Liliana,107,2024-02-27
Sardina española,20.415815763491203,115.77156898552025,97,5.65690924603166,23.44832604192738,Planta 2,Pesca Sur,Industrial,Santiago G,121,2024-05-16
Caballa,23.01960554916486,280.3232886043961,91,5.669378993590369,20.495058847719324,Planta 3,Pesca Norte,Industrial,Liliana,146,2024-09-09
Jurel,40.73915302536534,664.1746387031752,97,5.243953220072309,24.1519087144208,Planta 3,Pesca Norte,Artesanal,Fernanda,104,2024-11-24
Caballa,27.543969056041163,445.97201538251926,96,6.468345080574241,23.58414285821827,Planta 3,Pesca Sur,Artesanal,Licanten,133,2024-07-27
Jurel,50.143973716051335,661.3970701439848,78,5.481725789634758,26.61912581885474,Planta 2,Pesca Norte,Artesanal,Francesca,122,2024-08-22
Anchoveta,16.93890130887352,81.68116682644792,95,5.701168568685089,23.36677287979162,Planta 3,Pesca Norte,Artesanal,Fernanda,139,2024-08-06
Caballa,31.287751117963943,281.69503117690897,74,5.296875439245042,26.88618500078538,Planta 3,Pesca Norte,Industrial,Emilia,130,2024-02-01
Sardina española,10.468837262486263,153.88308177827085,74,6.9505046669396755,20.5471020976401,Planta 2,Pesca Norte,Artesanal,Isidora I,127,2024-05-14
Caballa,35.473741358931804,353.71515977260736,83,5.437031974228345,26.621353042762692,Planta 2,Pesca Norte,Industrial,Emilia,144,2024-06-22
Sardina española,18.38068389079282,175.66058741022636,74,6.946605665836328,23.83986013578204,Planta 1,Pesca Sur,Artesanal,Fernanda,126,2024-12-17
Sardina española,13.019356425951681,65.63190794166741,70,6.975858444315168,20.639535536486385,Planta 3,Pesca Sur,Artesanal,Francesca,116,2024-07-31
Anchoveta,21.110502107099155,51.013425899434075,86,6.264981979006916,20.746948088254868,Planta 3,Pesca Sur,Industrial,Isaac,156,2024-04-16
Jurel,42.3835946328968,681.5322573828904,95,6.411707877544777,21.028221106607962,Planta 2,Pesca Sur,Industrial,Emilia,127,2024-01-24
Jurel,35.37641768404732,724.8553868967127,90,6.799828023560684,22.54945648335895,Planta 2,Pesca Sur,Artesanal,Isaac,155,2024-03-20
Sardina española,22.877498045800582,71.49866815001148,85,6.166072868353556,20.03297545868405,Planta 2,Pesca Norte,Artesanal,Francesca,108,2024-09-21
Caballa,31.14092940575083,388.4227009006042,88,6.698133465080696,23.30970240096766,Planta 1,Pesca Sur,Industrial,Isidora I,159,2024-02-09
Sardina española,22.168845341326502,121.76683352227306,75,5.72041885470173,23.85146413308899,Planta 1,Pesca Sur,Artesanal,Santiago G,109,2024-06-01
Caballa,34.35632312554809,357.79078499073563,96,6.833892675465453,20.90593479792675,Planta 1,Pesca Norte,Artesanal,Fernanda,130,2024-04-16
Sardina española,19.50616024608684,109.78939247026693,87,6.595620643739323,22.19766920668576,Planta 2,Pesca Sur,Artesanal,Fernanda,133,2024-12-25
Sardina española,15.709184708580112,176.91310901512577,95,6.118063612393543,22.405101870498424,Planta 2,Pesca Norte,Industrial,Fernanda,127,2024-08-15
Anchoveta,13.29019098378079,71.60842475614879,89,6.872015819776584,24.525107827399747,Planta 2,Pesca Sur,Artesanal,Isidora I,152,2024-01-07
Anchoveta,18.98679946271449,69.18412622728857,78,5.616022489577553,24.99108355370965,Planta 2,Pesca Norte,Industrial,Francesca,104,2024-06-22
Caballa,21.60633998999044,388.11748819828796,70,6.367652832899852,26.26364204861236,Planta 2,Pesca Norte,Artesanal,Isaac,129,2024-11-20
Sardina española,20.33566346819132,93.28723892321183,92,6.950604712400126,22.772529466009182,Planta 3,Pesca Norte,Artesanal,Fernanda,144,2024-01-20
Sardina española,18.60154526673687,145.90852795643033,85,5.960335773247683,24.795313632419855,Planta 2,Pesca Sur,Artesanal,Isidora I,157,2024-12-09
Jurel,36.14964112551352,796.856897466791,79,6.414805673190457,26.9520882918335,Planta 2,Pesca Norte,Industrial,Isidora I,126,2024-04-08
Caballa,39.502163561404416,338.0619304247384,81,6.318987760767283,20.980350546525194,Planta 2,Pesca Norte,Artesanal,Fernanda,129,2024-12-03
Jurel,39.830761528004835,500.1002267796638,78,5.163796650055661,20.593852608952595,Planta 1,Pesca Norte,Artesanal,Isaac,149,2024-07-21
Jurel,36.77390107023857,736.4944677805298,88,6.663190466337905,28.668417384089416,Planta 3,Pesca Sur,Industrial,Isaac,138,2024-02-21
Anchoveta,14.686692267867238,61.31519285869521,75,6.008003675368162,24.852920275045047,Planta 1,Pesca Sur,Artesanal,Emilia,130,2024-05-01
Sardina española,14.557914313305762,146.92206393144323,71,5.115498728846834,28.129189804858278,Planta 1,Pesca Norte,Artesanal,Isidora I,136,2024-08-21
Sardina española,20.003706057953753,136.20012307583949,73,5.26531683179698,21.947687424368457,Planta 3,Pesca Sur,Industrial,Isidora I,125,2024-03-20
Caballa,34.363973937996015,246.86453822228623,82,6.360777567041555,21.817125912678172,Planta 2,Pesca Sur,Industrial,Isidora I,159,2024-05-02
Anchoveta,13.487843543211588,52.79985637780838,84,6.908065088771881,24.039912962281527,Planta 2,Pesca Sur,Artesanal,Francesca,156,2024-07-07
Jurel,35.222041315401796,633.8013391626394,81,5.424352046765853,28.87235336567216,Planta 1,Pesca Sur,Artesanal,Fernanda,145,2024-10-08
Anchoveta,15.85694756485817,124.63482891122688,72,6.01788445118814,24.341590503511487,Planta 3,Pesca Sur,Artesanal,Emilia,103,2024-11-07
Jurel,43.79956145083674,702.8549059965219,99,5.524647138139577,23.249771216980374,Planta 1,Pesca Sur,Artesanal,Isidora I,144,2024-10-10
Jurel,40.63349451495553,620.9629411738356,88,5.738506028670081,23.771016899340797,Planta 1,Pesca Sur,Industrial,Francesca,139,2024-12-27
Caballa,30.051895659706958,283.4628389660806,86,6.602575936606367,26.28566026992709,Planta 2,Pesca Norte,Artesanal,Fernanda,128,2024-03-03
Jurel,36.680803083930904,773.134025887251,84,6.182180512934856,27.599298135568997,Planta 1,Pesca Sur,Industrial,Licanten,140,2024-06-08
Caballa,34.88155472676027,318.7266937670612,80,6.574015223138781,20.353830597301975,Planta 2,Pesca Sur,Artesanal,Emilia,111,2024-07-17
Jurel,46.20796211625606,789.8764365287523,98,5.3215985319619366,29.86603989577486,Planta 1,Pesca Sur,Industrial,Francesca,153,2024-11-28
Anchoveta,15.040232276031183,35.61410430988907,97,5.55020473983478,28.389237223115444,Planta 3,Pesca Sur,Artesanal,Francesca,153,2024-02-22
Caballa,28.703873159035922,339.84721793992105,88,5.232131720711928,27.314533317745088,Planta 1,Pesca Norte,Industrial,Isaac,102,2024-10-10
Caballa,24.80498303501594,252.2273018007312,70,5.499575913068702,22.30613742616346,Planta 1,Pesca Sur,Industrial,Fernanda,127,2024-07-02
Anchoveta,19.914220757936448,76.65254369017481,80,6.878542505647508,29.52651902849999,Planta 2,Pesca Norte,Industrial,Isidora I,121,2024-01-10
Jurel,29.39002188689191,571.373597173216,92,5.251841955476335,21.844593793786437,Planta 3,Pesca Sur,Industrial,Fernanda,146,2024-12-30
Sardina española,24.439929669803554,92.47518090039358,91,5.940397307739455,28.176592931910236,Planta 1,Pesca Norte,Artesanal,Isidora I,111,2024-07-22
Jurel,49.031112848277914,564.8117931494949,80,5.382859421537246,22.94399679619546,Planta 1,Pesca Sur,Industrial,Isidora I,135,2024-04-20
Sardina española,24.020857787228273,127.77553136394397,70,6.190525600644023,22.038001276284504,Planta 3,Pesca Sur,Industrial,Francesca,144,2024-07-07
Caballa,32.508667129519644,291.55367949281447,98,5.470269804060953,20.297890186850537,Planta 3,Pesca Sur,Industrial,Francesca,151,2024-12-26
Anchoveta,16.472833370567738,75.69335546862456,73,5.279163714062273,23.786820687880766,Planta 3,Pesca Sur,Artesanal,Isaac,114,2024-04-26
Sardina española,26.926707211287784,119.37316452066015,94,6.334568786550722,23.666763501936067,Planta 2,Pesca Norte,Artesanal,Francesca,121,2024-02-08
Anchoveta,12.392935877168245,50.7580241450205,93,5.387472943446145,25.792567779443452,Planta 3,Pesca Norte,Artesanal,Isidora I,138,2024-11-01
Anchoveta,18.171595217017376,79.78976082136734,73,5.6865697526928844,23.756844776362417,Planta 2,Pesca Sur,Artesanal,Licanten,113,2024-02-13
Jurel,37.92669918305406,824.0878683214939,93,6.301466940676633,24.936015530272027,Planta 3,Pesca Norte,Industrial,Francesca,130,2024-05-26
Anchoveta,13.215461947477621,82.8162022033436,89,5.239658802008063,24.261773026800043,Planta 3,Pesca Sur,Artesanal,Francesca,129,2024-06-10
Anchoveta,18.336709625047018,103.59239285573793,89,6.918237693834155,28.537236091288417,Planta 3,Pesca Norte,Industrial,Francesca,154,2024-08-22
Jurel,25.823226687728962,624.8177800531209,88,5.358067569396454,29.024039454839567,Planta 1,Pesca Sur,Industrial,Emilia,150,2024-01-27
Caballa,33.35017580446316,285.42370198910527,86,6.368605477137919,22.64726106330928,Planta 1,Pesca Norte,Industrial,Fernanda,102,2024-06-17
Sardina española,20.57861393461109,183.38129407427508,88,6.753926619103588,20.49511570276638,Planta 3,Pesca Sur,Artesanal,Liliana,136,2024-01-02
Sardina española,20.72235702773557,178.53572013412352,88,6.721757479423604,26.161660382103452,Planta 2,Pesca Norte,Artesanal,Francesca,155,2024-12-28
Anchoveta,16.14582517666419,81.25478420768395,70,5.007686938506859,22.721459188899452,Planta 2,Pesca Sur,Artesanal,Santiago G,150,2024-10-14
Anchoveta,11.954817447691479,112.2481684166799,91,6.680997978158371,20.891808608216486,Planta 1,Pesca Sur,Artesanal,Fernanda,139,2024-02-13
Jurel,44.30266966226828,772.2275406432669,95,6.774447599061956,25.1711471141194,Planta 3,Pesca Norte,Industrial,Isaac,140,2024-03-30
Anchoveta,18.675608155082163,92.89317650296861,97,6.314227418675852,27.185900421101866,Planta 1,Pesca Norte,Artesanal,Isidora I,129,2024-09-21
Caballa,32.241913498694004,283.5028695739669,92,6.777140179540156,26.835277137615815,Planta 3,Pesca Norte,Artesanal,Liliana,140,2024-03-09
Caballa,40.00685726722004,284.8383061150759,99,5.681723957052504,21.154842502658543,Planta 1,Pesca Sur,Artesanal,Francesca,111,2024-11-17
Jurel,33.12192909431874,732.8520780080156,70,6.047350088052863,25.937198890918243,Planta 2,Pesca Norte,Artesanal,Licanten,110,2024-05-12
Jurel,33.99286705615945,538.9390978225865,78,6.780355052101241,28.002480819970984,Planta 3,Pesca Sur,Industrial,Fernanda,128,2024-06-24
Jurel,44.9621336578998,792.7269668284442,99,5.177744296688193,20.967414276001776,Planta 2,Pesca Sur,Industrial,Isidora I,103,2024-12-23
Anchoveta,13.966333620148246,74.63012838036809,87,6.724963977919344,21.811591807908595,Planta 2,Pesca Sur,Artesanal,Emilia,153,2024-08-05
Sardina española,17.95450078179143,199.24222963911095,99,5.265718288068083,28.65860755530338,Planta 2,Pesca Norte,Industrial,Santiago G,154,2024-09-29
Anchoveta,19.081704379439195,114.40249263779798,94,5.130774032401225,26.16967397446487,Planta 1,Pesca Norte,Artesanal,Liliana,149,2024-04-21
Anchoveta,16.484767842905015,90.50811589091421,82,6.659157648305241,25.735379011316713,Planta 1,Pesca Norte,Artesanal,Emilia,113,2024-02-03
Caballa,36.06038377110036,292.53466465509075,77,5.804005546628528,28.210921605670013,Planta 1,Pesca Sur,Industrial,Isaac,117,2024-12-04
Jurel,38.65788696059858,581.2274928225039,87,5.715168987005454,25.837913459264954,Planta 3,Pesca Sur,Artesanal,Fernanda,115,2024-01-10
Anchoveta,14.805024949254774,88.91253312978584,82,6.521392780919188,27.76829523279682,Planta 3,Pesca Sur,Artesanal,Francesca,138,2024-03-31
Caballa,25.04919092956478,314.14689850314915,97,5.645434544330583,21.606841061409867,Planta 2,Pesca Norte,Artesanal,Santiago G,142,2024-09-06
Caballa,38.63650810253386,266.2026878597864,96,6.867636576688791,26.3598344007591,Planta 2,Pesca Norte,Industrial,Isaac,146,2024-10-28
Caballa,30.137094863056863,283.3508059714359,81,6.312142613562504,20.585606652833,Planta 2,Pesca Sur,Industrial,Liliana,116,2024-12-10
Anchoveta,16.595923579896642,93.78497784785644,87,5.185067960671466,23.31628989760803,Planta 3,Pesca Norte,Industrial,Santiago G,122,2024-11-13
Jurel,36.9813555601733,914.1998598425611,82,6.179706414375209,27.331127023095682,Planta 2,Pesca Sur,Industrial,Santiago G,108,2024-06-10
Jurel,38.8851340118552,523.431845166461,88,5.68474977395595,23.244605138616276,Planta 1,Pesca Norte,Artesanal,Licanten,146,2024-03-11
Caballa,35.064107174016165,243.79132090654755,99,6.01479313450112,28.629758785986375,Planta 1,Pesca Sur,Industrial,Francesca,127,2024-10-20
Anchoveta,11.591029348073917,61.23097488372591,89,5.609691606645006,21.208598820554972,Planta 3,Pesca Norte,Artesanal,Liliana,149,2024-02-06
Sardina española,18.13985719542601,170.59372130161728,93,5.037922738519486,23.96285514957523,Planta 3,Pesca Sur,Artesanal,Francesca,127,2024-12-04
Anchoveta,11.99160214118951,89.67967775447045,89,6.825304659754133,25.689394764731134,Planta 3,Pesca Sur,Industrial,Emilia,105,2024-02-04
Jurel,34.463517741999624,693.3209505838005,89,6.379767523504159,25.699705774749162,Planta 3,Pesca Sur,Industrial,Francesca,136,2024-01-01
Caballa,19.68134011497737,249.60605147365632,79,5.474832408307696,26.300823521441696,Planta 1,Pesca Norte,Artesanal,Santiago G,154,2024-12-11
Anchoveta,13.672124237097714,95.06663774452664,92,6.6231857157310525,27.281340013499378,Planta 1,Pesca Norte,Industrial,Francesca,110,2024-03-16
Jurel,50.463049118787886,665.0672457484756,87,5.3640187735843865,22.44028058503018,Planta 1,Pesca Sur,Industrial,Isidora I,131,2024-11-08
Sardina española,21.322396881356717,68.77992134003581,76,6.1424518867092655,26.09192726731615,Planta 3,Pesca Sur,Industrial,Licanten,111,2024-02-05
Caballa,32.79672864370512,219.59452004774002,82,5.625333711311381,29.45575769378779,Planta 1,Pesca Sur,Artesanal,Isidora I,140,2024-12-26
Anchoveta,18.70533435333379,68.42779011188732,75,6.477627596849185,21.661543588192227,Planta 3,Pesca Norte,Artesanal,Fernanda,157,2024-02-25
Caballa,34.76810905754858,288.34929443134683,81,5.239832475110836,21.840917578168735,Planta 1,Pesca Norte,Artesanal,Isidora I,124,2024-07-08
Anchoveta,13.831427175254568,72.56076508832052,91,5.139003453538009,29.830302778604157,Planta 2,Pesca Norte,Artesanal,Emilia,103,2024-10-25
Jurel,48.77468307368722,847.9746684535053,82,6.2289073201760345,21.553676042434414,Planta 3,Pesca Sur,Artesanal,Francesca,141,2024-10-02
Sardina española,19.334477657964143,174.76468187823173,80,6.502467112365981,29.248506117046563,Planta 3,Pesca Norte,Artesanal,Santiago G,103,2024-07-28
Anchoveta,21.01284346787643,88.90540564342447,70,6.712767540179054,26.44524724724593,Planta 2,Pesca Norte,Industrial,Liliana,148,2024-07-23
Jurel,35.055587149955365,852.7318463499619,77,6.945864039238369,28.337651573096448,Planta 3,Pesca Sur,Industrial,Fernanda,146,2024-06-06
Anchoveta,19.67759214836311,113.77933772597905,79,6.485173200298244,25.394029246611225,Planta 1,Pesca Norte,Industrial,Isaac,126,2024-06-15
Anchoveta,12.73687340462953,77.05865042075263,97,5.934306449916063,22.530539719659796,Planta 3,Pesca Sur,Industrial,Isidora I,113,2024-11-11
Sardina española,20.864049471846005,86.36788548039647,80,5.976554671078869,25.149944019865025,Planta 1,Pesca Sur,Artesanal,Liliana,143,2024-08-13
Jurel,42.332751984739474,629.9864823724662,73,6.286247600110519,23.942113241057463,Planta 2,Pesca Norte,Artesanal,Isidora I,154,2024-06-01
Anchoveta,18.68477354067132,45.29300895280965,70,5.113529193833308,25.225295094306166,Planta 1,Pesca Norte,Industrial,Emilia,150,2024-10-16
Anchoveta,14.764823363616314,98.4988979712595,76,5.363465302757793,29.386708732895336,Planta 1,Pesca Sur,Artesanal,Fernanda,134,2024-06-21
Anchoveta,15.685132636465923,87.1245871736922,82,6.645979439040197,21.884271118207465,Planta 2,Pesca Norte,Artesanal,Fernanda,135,2024-11-29
Caballa,34.381795459910954,344.3811993776646,86,6.116029682183196,25.344905456471388,Planta 1,Pesca Sur,Artesanal,Santiago G,120,2024-07-10
Jurel,46.0167874763735,762.053780767955,74,5.37301589038527,29.880333449741826,Planta 1,Pesca Sur,Artesanal,Liliana,131,2024-10-12
Caballa,25.17643577109108,346.80205350680785,84,6.303059517828368,21.719039659808914,Planta 1,Pesca Norte,Artesanal,Liliana,130,2024-03-17
Caballa,29.57631008241919,324.9111707709745,93,5.9605361263404015,24.23355840579181,Planta 3,Pesca Sur,Industrial,Santiago G,155,2024-10-31
Caballa,39.107523032632514,208.01620770849485,71,6.10757437583156,22.03456638436897,Planta 1,Pesca Sur,Artesanal,Francesca,154,2024-12-14
Anchoveta,20.279926488108448,56.05044566573885,70,5.51702867053012,24.38839082787851,Planta 2,Pesca Sur,Industrial,Licanten,133,2024-08-15
Sardina española,23.889054166018674,180.25216593801113,94,6.519384137487868,22.60005988174959,Planta 1,Pesca Norte,Industrial,Francesca,156,2024-05-06
Anchoveta,13.601737010695397,84.00694577143081,86,5.305589351853979,20.156515672687643,Planta 1,Pesca Sur,Industrial,Liliana,126,2024-02-13
Anchoveta,11.59567961927761,71.73433273866107,98,6.135658571322506,21.37351920960807,Planta 2,Pesca Norte,Industrial,Liliana,121,2024-08-22
Caballa,26.67527288102416,260.1552801884859,73,5.103017941241448,26.35541148934186,Planta 3,Pesca Norte,Industrial,Liliana,141,2024-09-25
Sardina española,19.750726589426343,150.19401644377686,98,6.8042767325032605,25.11854182110406,Planta 3,Pesca Norte,Industrial,Isaac,144,2024-07-16
Jurel,46.38722257284693,591.0130246576857,72,5.324434146652917,29.058172641647218,Planta 2,Pesca Sur,Artesanal,Santiago G,149,2024-08-18
Anchoveta,19.252837772008974,84.04844821628662,91,5.709906971141333,26.393146215518172,Planta 2,Pesca Norte,Artesanal,Emilia,104,2024-07-09
Jurel,37.72155412613574,796.4429964697016,78,6.635250231024178,28.84964361387651,Planta 3,Pesca Sur,Artesanal,Francesca,149,2024-12-03
Anchoveta,17.298787431269744,74.0524186150206,85,5.257161650115021,26.899315918264787,Planta 2,Pesca Sur,Industrial,Francesca,148,2024-09-20
Sardina española,16.744080399304355,75.64668786034215,89,5.10643532635414,26.30873130825223,Planta 1,Pesca Sur,Industrial,Licanten,152,2024-09-02
Jurel,48.34180836507704,815.684581220467,72,6.623837516105804,22.275897282059415,Planta 1,Pesca Sur,Industrial,Liliana,127,2024-01-22
Caballa,24.786526941596108,242.5427512397941,78,6.093909151759672,28.063513938366384,Planta 1,Pesca Norte,Artesanal,Santiago G,115,2024-08-03
Anchoveta,16.745613813386246,75.75539028190721,72,6.438454531643753,22.57810565232282,Planta 3,Pesca Norte,Industrial,Liliana,159,2024-05-08
Jurel,41.322123530961136,697.6547948980613,99,5.354134645218358,26.570992029779443,Planta 2,Pesca Sur,Industrial,Francesca,139,2024-10-24
Jurel,39.30696005220543,682.9319062338467,88,5.4830432499321065,21.006378585291507,Planta 3,Pesca Norte,Artesanal,Emilia,157,2024-10-07
Caballa,34.386145422306164,289.33023806022925,92,5.387812695400273,20.675495722495903,Planta 1,Pesca Norte,Industrial,Isidora I,152,2024-09-30
Caballa,38.117921689127705,234.1786071104376,87,6.59790651362112,24.668529629589116,Planta 1,Pesca Norte,Artesanal,Emilia,109,2024-09-12
Anchoveta,14.299522872070423,75.7604335558184,77,5.289372236162169,20.409113466021715,Planta 2,Pesca Norte,Artesanal,Liliana,126,2024-02-07
Sardina española,31.587858557184468,156.6685331701775,84,6.525290463687214,24.67131917748854,Planta 2,Pesca Norte,Industrial,Isaac,120,2024-11-03
Anchoveta,17.853715585047848,61.031809089192144,89,6.337333228218887,21.988180315525074,Planta 1,Pesca Norte,Industrial,Liliana,107,2024-04-18
Sardina española,26.05948389008058,119.42115829860198,90,6.685597635140705,26.710688104999825,Planta 2,Pesca Sur,Industrial,Liliana,115,2024-09-21
Jurel,41.25130372889134,779.8159452714456,78,6.83927744280076,22.327735436703918,Planta 2,Pesca Norte,Industrial,Fernanda,102,2024-04-26
Sardina española,24.323169224457494,171.47979713098545,91,6.455762134288284,28.52713366453253,Planta 3,Pesca Norte,Industrial,Francesca,122,2024-03-24
Caballa,21.31213946735486,243.62633685293758,87,5.980420760345116,25.23028397533379,Planta 2,Pesca Sur,Industrial,Liliana,156,2024-10-31
Jurel,44.88282442808224,702.6393465139453,72,5.5698261310217845,23.751712157041915,Planta 3,Pesca Sur,Industrial,Santiago G,112,2024-09-19
Caballa,37.05233246209809,221.3859873374019,90,5.885430915559799,26.626793112338746,Planta 3,Pesca Sur,Artesanal,Santiago G,140,2024-06-19
Anchoveta,16.122675172075745,78.88881411429665,97,5.40198819121012,21.507715492207183,Planta 1,Pesca Norte,Artesanal,Isidora I,102,2024-04-15
Anchoveta,11.039403736295625,73.0569100888113,93,5.153592217493797,22.60275835224901,Planta 1,Pesca Sur,Industrial,Santiago G,101,2024-12-18
Jurel,45.82662416117175,556.8533187128309,86,5.896556786343072,28.292523297246035,Planta 2,Pesca Norte,Industrial,Fernanda,114,2024-07-22
Anchoveta,17.22906083760782,106.44880043125552,75,6.980441604567444,29.395796654460028,Planta 2,Pesca Sur,Artesanal,Licanten,137,2024-01-01
Jurel,24.108792742720844,577.8274826632135,80,6.139168450772994,28.912084491589333,Planta 3,Pesca Sur,Industrial,Licanten,130,2024-11-26
Sardina española,21.048069373499654,164.78140071043543,89,6.219445906839995,22.82685391727395,Planta 2,Pesca Norte,Industrial,Licanten,138,2024-01-31
Caballa,26.635914194020316,330.9321320419001,95,6.566215012484522,23.107221818152645,Planta 3,Pesca Sur,Industrial,Francesca,106,2024-01-24
Sardina española,22.45971155477574,144.4073921375586,89,6.315534921656978,29.54294086505642,Planta 3,Pesca Norte,Artesanal,Francesca,142,2024-07-06
Caballa,33.29529666315121,235.8953514266429,89,5.446911895884588,23.48587896762992,Planta 2,Pesca Norte,Industrial,Santiago G,155,2024-07-19
Sardina española,20.112701378055537,128.2284343609234,81,5.272080998358495,20.852059557448815,Planta 1,Pesca Norte,Industrial,Liliana,120,2024-10-31
Anchoveta,14.368974859184092,45.97808816464067,87,5.608139305076352,20.51744949953554,Planta 2,Pesca Norte,Industrial,Santiago G,107,2024-09-14
Anchoveta,10.902461329615805,92.24882145738368,79,5.723028043427433,21.129415289985168,Planta 1,Pesca Sur,Industrial,Francesca,151,2024-09-06
Sardina española,12.712671935576989,176.75545653693496,85,6.9582112515536,29.883201903527343,Planta 2,Pesca Norte,Industrial,Licanten,125,2024-04-29
Sardina española,19.294018224571154,127.47787205118877,72,5.391735094022226,26.157057873192525,Planta 1,Pesca Sur,Artesanal,Francesca,109,2024-09-21
Jurel,32.25025600383064,652.7707237164856,90,6.3875553534224725,21.557483510805696,Planta 1,Pesca Sur,Industrial,Emilia,110,2024-03-31
Jurel,45.03368415166482,691.4987920461963,72,5.857244675036053,22.68302190539625,Planta 1,Pesca Sur,Industrial,Isidora I,141,2024-09-27
Anchoveta,19.794604908743498,12.096228995471407,86,6.475013764307622,20.233371852133395,Planta 1,Pesca Norte,Artesanal,Isaac,106,2024-09-08
Caballa,24.413162213407627,323.9502716919639,92,5.044111459208359,21.98284155496544,Planta 3,Pesca Norte,Artesanal,Licanten,117,2024-02-13
Sardina española,12.88752418929787,117.22338504033914,78,6.459108310809354,26.126440106735366,Planta 3,Pesca Sur,Industrial,Licanten,142,2024-09-29
Anchoveta,12.070794760621435,117.0320767161615,91,5.5209509647392885,22.678914127869394,Planta 1,Pesca Sur,Industrial,Emilia,104,2024-08-11
Sardina española,20.171311415231838,119.64426639617531,74,6.266378666644245,20.17712788424981,Planta 2,Pesca Sur,Industrial,Francesca,138,2024-05-14
Caballa,41.89686240147266,359.60856202443307,89,5.300775870203162,22.478742926779823,Planta 2,Pesca Norte,Industrial,Francesca,132,2024-06-30
Caballa,32.00379420379663,286.9265270309169,81,6.721017017720049,23.758564665839938,Planta 3,Pesca Sur,Industrial,Isaac,104,2024-04-14
Jurel,46.91145364209147,708.2509064774437,89,6.757402743571187,20.318968757582716,Planta 1,Pesca Sur,Industrial,Emilia,147,2024-04-08
Jurel,37.14400239021621,759.941420120502,92,6.155904112867172,28.49216948679029,Planta 1,Pesca Norte,Industrial,Licanten,118,2024-04-14
